Titulo_Proyecto;Sponsor;Lider_Proyecto;Business_Owner;Fecha_Actualizacion;Tipo_Proyecto;Area_Proyecto;Etapas;Descripcion_Proyecto;KPI_Estrategico;Base_Estrategico;Real_Estrategico;Meta_Estrategico;KPI_Tactico;Base_Tactico;Real_Tactico;Meta_Tactico;Ultimos_Avances;Proximos_Pasos;Riesgos_Mitigaciones;Etapa1;Actividad1;Fecha1;Avance1;Etapa2;Actividad2;Fecha2;Avance2;Etapa3;Actividad3;Fecha3;Avance3;Etapa4;Actividad4;Fecha4;Avance4;Etapa5;Actividad5;Fecha5;Avance5;Etapa6;Actividad6;Fecha6;Avance6;Inicio;Termino;Fecha Límite;Unidad de Negocio
App Transportista Áridos;Andrés Valdivieso;Kevin Valenzuela;Julio San Martín;30-04-2026;Producto Digital In-house;DX;Mejora Continua;"Una aplicación corporativa de transportistas, que permite:
Entregar al operador información sobre sus despachos.
Entregar al cliente información en tiempo real desde su operador.
Digitalizar la guía.
Entregar la guía de manera automática al cliente.
Sistematizar data relevante entregada por el cliente.
Entregar un mayor control al equipo de logística. 
Marcar los estados del pedido para seguimiento interno y externo del despacho.";NPS;;;;Adherencia uso;0;1;0,76;Control de combustible áridos en desarrollo;Probar en QAS modulo control de combustible áridos;Resistencia al cambio de los transportistas.;Entrega;Definir Modelo de soporte y Matriz de incidentes;Junio 2025;1;Entrega;Entrega proyecto;Julio 2025;1;Mejora Continua;Desarrollo de mejoras “Sprint 3”;Julio 2025;1;Mejora Continua;Pase a productivo dashboard.;Enero 2026;1;;;;;;;;;05-03-2026;20-03-2026;20-03-2026;Aridos
Pago Express Áridos;Andres Valdivieso;Pablo Zemelman;Luis Uribe;20-03-2026;Producto Digital As A Service;DX;Diseño;"El area de áridos levantó la problemática de que los pedidos de clientes que se hacían vía transferencia tardaban demasiado en liberarse. Esto genera no solo una insatisfacción en los clientes sino una ineficiencia en el ingreso de nuestras plantas. 
Este proyecto consiste e integrar las transferencias del cliente a través de la plataforma Khipu, con SAP, de manera de automatizar las liberaciones de los pedidos contado.";Ventas contado vs total;;;;Satisfaccion cliente en la plataforma;;;;Nos reuninimos con Khipu, cerramos con ellos.;Partir la integración con Lion Consulting. Kick off con proveedor y negocio. / Diseño de carta gantt. / Se definio a Lion Consulting con Khipu para la integración.;Negociación con Khipu.;Piloto;Kick Off - Presentar las bases del proyecto a todos los stakeholders;TBD;0;Piloto;Coordinacion con el negocio fase de desarrollo;TBD;0;;;;;;;;;;;;;;;;;;;;Aridos
Portal Clientes Áridos;Andrés Valdivieso;Pablo Zemelman;;20-03-2026;Producto Digital In-house;DX;Roll Out;"Este proyecto tiene como finalidad ofrecer una herramienta B2B a nuestros clientes a nivel corporativo, partiendo por el area de cemento.
A traves de este portal, los clientes seran capaces de tener toda su informacion en el mismo lugar, y de generar transacciones, eficientando asi tambien nuestra operacion. 
En las proximas fases, se considera incorporar a aridos y hormigon, actualizando la experiencia de este ultimo.";;;;;;;;;Se agendo showcase final con el negocio. Se mostro la plataforma y se solicitaron algunos ajustes de cara a la marcha blanca. El horario debe estar sujeto a am y pm y pop de programacion despues de las 16 hrs para el dia siguiente;Ajustar mejoras de El horario debe estar sujeto a am y pm y pop de programacion despues de las 16 hrs para el dia siguiente y visitar clientes para marcha blanca;Incidencias detectadas durante la marcha blanca;Roll Out;Ajustar mejoras solicitadas por el negocio;27 abr. 2026 - 03 may. 2026;0,5;;;;;;;;;;;;;;;;;;;;;16-02-2026;20-02-2026;20-02-2026;Aridos
Asistente WhatsApp IA Cemento;Felipe Ureta;Kevin Valenzuela;Sebastian Sotomayor;30-04-2026;Producto Digital As A Service;DX;Mejora Continua;"Existe un alto volumen de consultas al área de servicio de nuestros clientes.
Actualmente no tienen un espacio donde puedan acceder a su información, su ejectuivo es con quien triangulan todo. 
Los clientes más pequeños como ferreterías independientes y encadenadas no quieren utilizar el computador, su herramienta principal es el WhatsApp.
WhatsApp para clientes integrado con nuestros sistemas donde el cliente puede acceer de manera automática a información.";NPS;0;0,65;0,8;"Reducción de HH de CSC.
Reducción HH logística cemento.
Reducción HH vendedores.";;;;Se desorrolllo la funcionalidad de solicitudes de pedidos y repetir pedidos. Correcciones tecnicas en solicitudes de pedidos y guías;Pase a productivo funcionalidad solicitud de pedido.;No entregar información en tiempo real.;Piloto;Desarrollo, integracion;Marzo 2025;1;Piloto;Testeo con clientes;Junio 2025;1;Roll Out;Liberación de la solución a clientes;Julio 2025;1;Roll Out;Comunicación a clientes;Diciembre 2025;1;Entrega;Reunión de entrega de solución al negocio;Enero 2026;1;Mejora Continua;Diseño de funcionalidad solicitud de pedido;Febrero 2026;1;16-02-2026;02-03-2026;02-03-2026;Cemento
App Maestro Cemento;Paula Ferrada;Kevin Valenzuela;Sebastian Sotomayor;30-04-2026;Producto Digital In-house;DX;Piloto;"Aplicación dirigida a maestros de la construcción
El usuario puede acceder a capacitaciones, cubicador, información de interés y le permitirá profesionalizar su día a día mediante un generador de cotizaciones y proyectos. Además, contaremos con un perfil administrador donde podremos ir modificando la comunicación de la herramienta de manera autónoma.";NPS;;;;"Tasa de uso.
Funcionalidades más usadas.
N de usuarios.
N de descargas";;;;Ajustes tecnicos en base de datos y corrección;Subida de la app. a las tiendas play store y app store;"Bugs y fallas.
No subir el nivel de adherencia.  
Cambios en definiciones técnicas.";Diseño;Desarrollo de software en metodología scrum;Ener.- Mar. 2025;0,9;Piloto;Comunicación de la solución;Jun. - Dic. 2025;0;Roll Out;Subida de la app. a las tiendas play store y app store;Jun. - Dic. 2025;0;;;;;;;;;;;;;18-02-2026;27-02-2026;27-02-2026;Cemento
Portal Clientes Polpaico Cemento;Felipe Ureta;Pablo Zemelman;Sebastian Sotomayor;20-03-2026;Producto Digital In-house;DX;Mejora Continua;"Este proyecto tiene como finalidad ofrecer una herramienta B2B a nuestros clientes a nivel corporativo, partiendo por el area de cemento.
A traves de este portal, los clientes seran capaces de tener toda su informacion en el mismo lugar, y de generar transacciones, eficientando asi tambien nuestra operacion. 
En las proximas fases, se considera incorporar a aridos y hormigon, actualizando la experiencia de este ultimo.";"NPS 
Pedidos online vs total";;;;Interacción plataforma (guias, pedidos, certificados, visita;0;;200 clientes únicos;Se mejoro dejar los pedidos de saco con multiplos de 72 (pallet cerrado) se ajusto la parametria en mis documentos para poder mostrar el detalle del producto y mejorar la velocidad;Incorporar el modulo de politicas de despacho. Pasar a productivo los cambios realizados a QA;Lentitud en plataforma;Mejora Continua;Pasar a Productivo;27 abr. 2026 - 03 abr. 2026;0;;;;;;;;;;;;;;;;;;;;;11-02-2026;11-02-2026;11-02-2026;Cemento
Fondos Públicos:  ANID y FONDEF;Paula Ferrada;Mauricio Cares;Christopher Andrews;04-05-2026;Postulación Fondo;Innovación;Diseño;"Fondos adjudicados estatales para el I+D y vinculación con universidades.
ANID: Fondo para el desarrollo de tecnologías para captar CO2 e inyección en soluciones cementicias.
FONDEF:  Fondo para uso de áridos reciclados en estructuras constructivas y viales. 
Responsabilidad de innovación de coordinar múltiples áreas técnicas internas con investigadores externos de la UFRO  y UC.";EBITDA de nuevos negocios;0;0;Por definir;No aplica;N/A;N/A;N/A;Kick off de ambos proyectos;Construcción de muros de pruebas proyecto áridos.;"R: Cumplimiento estricto de la carta Gantt.
M: Hacer seguimiento y PMO desde el área de innovación";Diseño;Adjudicación fondo público; 1 dic. 2025 - 30 dic. 2025;1;Piloto;Kickoff de ambos proyectos;2 ene. 2026 - 1 feb. 2026;1;Piloto;Construcción de muros de pruebas proyecto áridos;1 feb. 2026 - 23 abr. 2026;0,5;Piloto;Inicio de operaciones de prototipo de captación de CO2;1 sep. 2026 - 30 nov. 2026;0;;;;;;;;;11-02-2026;07-05-2026;07-05-2026;Cemento, Hormigon
Portal Clientes Coactiva;;Pablo Zemelman;;20-03-2026;Producto Digital In-house;DX;Diseño;El proyecto COACTIVA PORTAL DE APLICACIONES tiene como objetivo la implementación de una solución tecnológica integral orientada a la digitalización de procesos críticos asociados a la gestión de residuos industriales, con foco en trazabilidad, cumplimiento normativo y eficiencia operativa.;;;;;;;;;Se agendo workshop con el negocio para ajustar front de back office. se opto por partir creando el portal del back office. Se continuo agendado visitas con clientes;Presentar avances al negocio. Validar portal back office y comenzar a desarrollar;;Diseño;Creacion portal Back Office;25 may. 2026 - 31 may. 2025;0;Diseño;Desarrollo portal clientes;8 jun. 2026 - 14 jun. 2026;0;;;;;;;;;;;;;;;;;;;;Coactiva
Innovación Abierta: SOFOFA Hub;Andres Valdivieso;Cristobal Meza;TBD;04-05-2026;Innovación Abierta;Innovación;Diseño;"Objetivo: Acelerar la adopción tecnológica en Polpaico Soluciones mediante validación rápida de soluciones del ecosistema global, resolviendo desafíos clave de eficiencia, sostenibilidad y procesos.

Alcance: 
- Participación en alianza Venture Client SOFOFA Hub.
- Definición y priorización de 2–3 desafíos en Áridos y Cemento.
- Scouting y evaluación de startups tecnológicas.
- Ejecución de POC (≈3 meses) y decisión de escalamiento.";TBD;;;;"# de pilotos ejecutados
# de soluciones escaladas";TBD;TBD;>= 1 escalamiento por desafío;"Participaremos de ""oyentes"" en la oleada de Marzo para entender el proceso, conocer a las otras empresas y entender el perfil del negocio que tiene que participar";=- Reunión con los Gerentes de Áridos para Kickoff;"R: Existe poca flexibilidad respecto de los timings de proyecto, dado que nosotros nos adecuamos al programa, no al revés.

M: Ejecución de planificación de proyecto de manera temprana, definiendo Business Owners y Gantt que considere este riesgo.";Plan;Gobierno y Setup del Proyecto;1 abr. 2026 - 30 abr. 2026;0;Diseño;Levantamiento y Priorización de Desafíos;1 may. 2026 - 31 may. 2026;0;Roll Out;Preparación y Lanzamiento de la Convocatoria;20 may. 2025 - 7 jun. 2026;0;Roll Out;Scouting y Selección de Startups;8 jun. 2026 – 15 jul.2026;0;Roll Out;Diseño y Ejecución de Pilotos;1 ago. 2026 - 30 sep. 2026;0;Entrega;Evaluación y Decisión Post‑Piloto;1 oct. 2026 - 31 oct. 2026;0;01-08-2026;01-03-2027;01-03-2027;Áridos
Mesa de IA (Centro de Excelencia);Andrés Perez;Francisco Echeverria;No aplica;21-04-2026;Mesa de Trabajo;Transformación;Roll Out;"Impulsar la madurez en la adopción de Inteligencia Artificial, avanzando progresivamente del Tier 1 al Tier 3. 
Impulsar un cambio cultural entorno a la adopción de la IA en toda la organización.
Alinear el uso de tecnologías de IA con los objetivos del negocio.
Innovar con IA para generar valor para el negocio.";Madurez Digital;3,51;3,51;4,19 - 5,10;"Productividad
HH Automatizadas
Jornadas Equivalentes (JEQ)";;;;"Onboarding célula digital IA nueva (Blueprint)
Diseño rol de embajadores digitales 
Despliegue comunicaciones de Ola 1";"Showcase finales Quick Wins IA
Priorización de Ola 2 de Casos de Uso IA";"R: Retraso de entrega arquitectura IA por parte de tecnología  
M: Seguimiento a equipo de infraestructura";Roll Out;Seleccionar casos de uso prioritarios (quick wins);1 dic. 2025 - 2 feb. 2026;1;Roll Out;Desplegar casos de uso en ambientes productivos TI para liberar los agentes a los equipos;2 feb.2026 - 31 mar. 2026;0,75;Roll Out;Habilitar arquitectura IA para funnel IA;5 ene. 2026 a 10 mar. 2026;1;Piloto;Elaboración plan gestión del cambio (actividades, webinars, concursos, comunidades, etc.) y definición del rol embajadores;1 abr. 2026 a 30 abr. 2026;0,25;Diseño;Planificación Ola 2 y Ola 3 de casos de uso IA;1 abr. 2026 a 30 abr. 2026;0,75;Diseño;Diseño y desarrollo Comunidad IA;1 abr. 2026 a 30 jun. 2026;0;01-02-2026;30-05-2026;30-05-2026;Corporativo
